M1.H_b.DIC Time [a],M1.H_b.DIC DIC [mol],M1.H_b.DIC C^{12}$S [mol],M1.H_b.DIC C^{13}$S [mol],M1.H_b.DIC $\delta^{13}$C [VPDB],M1.H_b.DIC DIC [mol/l],M1.CG_L_b2H_b.C_DIC_2_DIC_thc.thc_F DIC [mol/a],M1.CG_L_b2H_b.C_DIC_2_DIC_thc.thc_F DIC [C^{12}$S],M1.CG_L_b2H_b.C_DIC_2_DIC_thc.thc_F DIC [C^{13}$S],M1.CG_L_b2H_b.C_DIC_2_DIC_thc.thc_F DIC $\delta^{13}$C [VPDB],M1.CG_H_b2D_b.C_DIC_2_DIC_thc.thc_F DIC [mol/a],M1.CG_H_b2D_b.C_DIC_2_DIC_thc.thc_F DIC [C^{12}$S],M1.CG_H_b2D_b.C_DIC_2_DIC_thc.thc_F DIC [C^{13}$S],M1.CG_H_b2D_b.C_DIC_2_DIC_thc.thc_F DIC $\delta^{13}$C [VPDB],M1.CG_H_b2D_b.C_DIC_2_DIC_mix_f.mix_f_F DIC [mol/a],M1.CG_H_b2D_b.C_DIC_2_DIC_mix_f.mix_f_F DIC [C^{12}$S],M1.CG_H_b2D_b.C_DIC_2_DIC_mix_f.mix_f_F DIC [C^{13}$S],M1.CG_H_b2D_b.C_DIC_2_DIC_mix_f.mix_f_F DIC $\delta^{13}$C [VPDB],M1.CG_D_b2H_b.C_DIC_2_DIC_mix_b.mix_b_F DIC [mol/a],M1.CG_D_b2H_b.C_DIC_2_DIC_mix_b.mix_b_F DIC [C^{12}$S],M1.CG_D_b2H_b.C_DIC_2_DIC_mix_b.mix_b_F DIC [C^{13}$S],M1.CG_D_b2H_b.C_DIC_2_DIC_mix_b.mix_b_F DIC $\delta^{13}$C [VPDB],C_H_b_2_CO2_At.CO2_F DIC [mol/a],C_H_b_2_CO2_At.CO2_F DIC [C^{12}$S],C_H_b_2_CO2_At.CO2_F DIC [C^{13}$S],C_H_b_2_CO2_At.CO2_F DIC $\delta^{13}$C [VPDB]
199999.0,3.7037775639496056e+16,2.3428234874483644e+16,1.3609540765012412e+16,50694.672818488536,0.002137004528887671,1503168463307320.2,920666707887286.9,582501755420033.4,55303.668046614875,1685968353817739.0,1066459035519996.4,619509318297742.6,50694.64467347529,2023162024581286.8,1279750842623995.8,743411181957291.0,50694.64467347529,2159505327139301.8,1418304581352994.0,741200745786307.8,45505.91905514863,46456412843458.13,7191608252607.672,39264804590850.46,484869.13116749213
199999.1,3.703777562193349e+16,2.342823017638603e+16,1.3609545445547456e+16,50694.700963511976,0.0021370045278743467,1503168462536409.8,920666507375881.6,582501955160528.1,55303.699615551035,1685968353020638.8,1066458821662955.5,619509531357683.2,50694.672818488536,2023162023624766.5,1279750585995546.8,743411437629219.8,50694.672818488536,2159505325624682.2,1418304324389968.0,741201001234714.2,45505.94350878,46456412858669.18,7191594916530.25,39264817942138.93,484870.1973734544
199999.2,3.703777560448244e+16,2.3428225478363216e+16,1.3609550126119224e+16,50694.72910852115,0.002137004526867457,1503168461764311.5,920666306863756.2,582502154900555.2,55303.731184499746,1685968352221186.5,1066458607804435.1,619509744416751.4,50694.700963511976,2023162022665424.0,1279750329365322.2,743411693300101.8,50694.700963511976,2159505325796530.0,1418304068534650.5,741201257261879.5,45505.9679624123,46456412815299.25,7191581543181.469,39264831272117.78,484871.26583777607
199999.30000000002,3.703777558697265e+16,2.3428220780303376e+16,1.3609554806669272e+16,50694.757253540796,0.0021370045258571773,1503168460994796.5,920666106353394.5,582502354641402.0,55303.762753433606,1685968351426810.8,1066458393949319.6,619509957477491.1,50694.72910852115,2023162021712173.2,1279750072739183.8,743411948972989.5,50694.72910852115,2159505324281808.5,1418303811571723.5,741201512710085.0,45505.99241604552,46456412764479.63,7191568164984.133,39264844599495.5,484872.3346014595
199999.40000000002,3.7037775569411176e+16,2.3428216082211028e+16,1.3609559487200148e+16,50694.785398570646,0.002137004524843916,1503168460223912.0,920665905842199.9,582502554381712.1,55303.794322380214,1685968350629761.0,1066458180092518.8,619510170537242.2,50694.757253540796,2023162020755713.2,1279749816111022.5,743412204644690.8,50694.757253540796,2159505322767187.5,1418303554608945.5,741201768158242.0,45506.016869679675,46456412779688.414,7191554828917.8125,39264857950770.6,484873.4008183901
199999.5,3.7037775551961224e+16,2.342821138419347e+16,1.3609564167767752e+16,50694.813543586264,0.0021370045238370892,1503168459451840.2,920665705330285.9,582502754121554.4,55303.825891339395,1685968349830358.5,1066457966234238.1,619510383596120.4,50694.785398570646,2023162019796430.2,1279749559481085.8,743412460315344.5,50694.785398570646,2159505322939033.5,1418303298753874.8,741202024185158.8,45506.04132331477,46456412736355.37,7191541455605.461,39264871280749.91,484874.46929216903
199999.6,3.703777553445252e+16,2.342820668613889e+16,1.3609568848313632e+16,50694.84168861235,0.0021370045228268726,1503168458682351.5,920665504820135.1,582502953862216.4,55303.85746028375,1685968349036032.8,1066457752379362.0,619510596656670.8,50694.813543586264,2023162018843239.2,1279749302855234.5,743412715988004.8,50694.813543586264,2159505321424311.0,1418303041791196.0,741202279633115.0,45506.06577695078,46456412685552.18,7191528077431.508,39264884608120.67,484875.5380661036
199999.7,3.703777551689213e+16,2.342820198805179e+16,1.3609573528840336e+16,50694.86983364863,0.0021370045218136735,1503168457911493.2,920665304309151.8,582503153602341.5,55303.889029240854,1685968348239032.2,1066457538522800.4,619510809716231.9,50694.84168861235,2023162017886839.0,1279749046227360.8,743412971659478.2,50694.84168861235,2159505319909688.0,1418302784828665.5,741202535081022.5,45506.090230587724,46456412700778.29,7191514741389.086,39264897959389.2,484876.6042932223
199999.80000000002,3.703777549944325e+16,2.342819729003949e+16,1.360957820940376e+16,50694.89797867064,0.0021370045208069085,1503168457139447.0,920665103797448.2,582503353341998.8,55303.92059821052,1685968347439679.0,1066457324664758.6,619511022774920.4,50694.86983364863,2023162016927615.0,1279748789597710.5,743413227329904.5,50694.86983364863,2159505320081532.2,1418302528973842.0,741202791107690.2,45506.11468422563,46456412657500.17,7191501368124.406,39264911289375.766,484877.6727757834
