M1.H_b.TA Time [a],M1.H_b.TA TA [mol],M1.H_b.TA C^{12}$S [mol],M1.H_b.TA C^{13}$S [mol],M1.H_b.TA $\delta^{13}$C [VPDB],M1.H_b.TA TA [mol/l],M1.CG_L_b2H_b.C_TA_2_TA_thc.thc_F TA [mol/a],M1.CG_L_b2H_b.C_TA_2_TA_thc.thc_F TA [C^{12}$S],M1.CG_L_b2H_b.C_TA_2_TA_thc.thc_F TA [C^{13}$S],M1.CG_L_b2H_b.C_TA_2_TA_thc.thc_F TA $\delta^{13}$C [VPDB],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA [mol/a],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA [C^{12}$S],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA [C^{13}$S],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA $\delta^{13}$C [VPDB],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA [mol/a],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA [C^{12}$S],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA [C^{13}$S],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA $\delta^{13}$C [VPDB],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA [mol/a],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA [C^{12}$S],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA [C^{13}$S],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA $\delta^{13}$C [VPDB]
199999.0,4.030996762737931e+16,1.4937722083073344e+17,-1.0906725320335413e+17,-65975.83812498045,0.0023258033694433028,1780421797247279.8,6776217847284052.0,-4995796050036772.0,-66608.3672908125,1834919311051040.2,6799682081147679.0,-4964762770096639.0,-65975.8221298199,2201903173261248.5,8159618497377215.0,-5957715324115966.0,-65975.8221298199,2256400519569941.5,8184077063918103.0,-5927676544348162.0,-65454.9934896493
199999.1,4.030996761051785e+16,1.49377320264068e+17,-1.0906735265355014e+17,-65975.85412019712,0.002325803368470431,1780421796480945.8,6776222401244890.0,-4995800604763944.0,-66608.38301459879,1834919310288598.8,6799686607373665.0,-4964767297085066.0,-65975.83812498045,2201903172346318.5,8159623928848399.0,-5957720756502080.0,-65975.83812498045,2256400517539300.0,8184082468322776.0,-5927681950783476.0,-65455.009713651416
199999.2,4.030996759388258e+16,1.493774196974694e+17,-1.0906745210358683e+17,-65975.87011526852,0.002325803367510609,1780421795712011.2,6776226955208790.0,-4995805159496779.0,-66608.39873840866,1834919309521061.0,6799691133602696.0,-4964771824081635.0,-65975.85412019712,2201903171425273.5,8159629360323235.0,-5957726188897962.0,-65975.85412019712,2256400518881592.5,8184087872731085.0,-5927687353849492.0,-65455.02593764084
199999.30000000002,4.030996757713444e+16,1.4937751913093763e+17,-1.090675515538032e+17,-65975.8861103966,0.002325803366544276,1780421794948321.8,6776231509175746.0,-4995809714227424.0,-66608.41446213907,1834919308763819.5,6799695659834768.0,-4964776351070948.0,-65975.87011526852,2201903170516583.5,8159634791801722.0,-5957731621285138.0,-65975.87011526852,2256400516850747.0,8184093277143027.0,-5927692760292280.0,-65455.0421249489
199999.40000000002,4.030996756027434e+16,1.493776185644727e+17,-1.0906765100419837e+17,-65975.90210558083,0.002325803365571482,1780421794182023.8,6776236063145767.0,-4995814268963743.0,-66608.43018589317,1834919308001440.2,6799700186069883.0,-4964780878068443.0,-65975.8861103966,2201903169601728.5,8159640223283860.0,-5957737053682132.0,-65975.8861103966,2256400514820102.5,8184098681558598.0,-5927698166738496.0,-65455.0583489195
199999.5,4.030996754364042e+16,1.493777179980746e+17,-1.0906775045443418e+17,-65975.91810061975,0.0023258033646117384,1780421793413125.5,6776240617118845.0,-4995818823705720.0,-66608.44590967085,1834919307233964.2,6799704712308040.0,-4964785405074076.0,-65975.90210558083,2201903168680757.2,8159645654769649.0,-5957742486088892.0,-65975.90210558083,2256400516162391.0,8184104085977803.0,-5927703569815412.0,-65455.07457287736
199999.6,4.0309967526893624e+16,1.4937781743174333e+17,-1.090678499048497e+17,-65975.93409571538,0.0023258033636454826,1780421792649471.5,6776245171094986.0,-4995823378445514.0,-66608.46163336908,1834919306476784.2,6799709238549238.0,-4964789932072454.0,-65975.91810061975,2201903167772141.2,8159651086259086.0,-5957747918486945.0,-65975.91810061975,2256400514131542.5,8184109490400644.0,-5927708976269102.0,-65455.09076015395
199999.7,4.030996751003485e+16,1.4937791686547888e+17,-1.0906794935544403e+17,-65975.95009086716,0.0023258033626727655,1780421791883209.0,6776249725074186.0,-4995827933190977.0,-66608.47735709099,1834919305714466.5,6799713764793479.0,-4964794459079012.0,-65975.93409571538,2201903166857360.0,8159656517752175.0,-5957753350894815.0,-65975.93409571538,2256400512100893.0,8184114894827113.0,-5927714382726220.0,-65455.10698409299
199999.80000000002,4.030996749340225e+16,1.4937801629928128e+17,-1.0906804880587904e+17,-65975.96608587366,0.0023258033617130983,1780421791114346.2,6776254279056450.0,-4995832487942104.0,-66608.49308083647,1834919304947051.0,6799718291040764.0,-4964798986093713.0,-65975.95009086716,2201903165936461.2,8159661949248917.0,-5957758783312456.0,-65975.95009086716,2256400513443178.0,8184120299257216.0,-5927719785814038.0,-65455.12320801932
