M1.CO2_At Time [a],M1.CO2_At CO2 [mol],M1.CO2_At C^{12}$S [mol],M1.CO2_At C^{13}$S [mol],M1.CO2_At $\delta^{13}$C [VPDB],M1.CO2_At CO2 [mol/l],C_H_b_2_CO2_At.CO2_F CO2 [mol/a],C_H_b_2_CO2_At.CO2_F CO2 [C^{12}$S],C_H_b_2_CO2_At.CO2_F CO2 [C^{13}$S],C_H_b_2_CO2_At.CO2_F CO2 $\delta^{13}$C [VPDB],C_L_b_2_CO2_At.CO2_F CO2 [mol/a],C_L_b_2_CO2_At.CO2_F CO2 [C^{12}$S],C_L_b_2_CO2_At.CO2_F CO2 [C^{13}$S],C_L_b_2_CO2_At.CO2_F CO2 $\delta^{13}$C [VPDB],M1.volcanic.DIC_2_CO2_At_F CO2 [mol/a],M1.volcanic.DIC_2_CO2_At_F CO2 [C^{12}$S],M1.volcanic.DIC_2_CO2_At_F CO2 [C^{13}$S],M1.volcanic.DIC_2_CO2_At_F CO2 $\delta^{13}$C [VPDB],M1.C_CO2_At_2_DIC_Si_W.CO2_At_2_DIC_Si_W_F CO2 [mol/a],M1.C_CO2_At_2_DIC_Si_W.CO2_At_2_DIC_Si_W_F CO2 [C^{12}$S],M1.C_CO2_At_2_DIC_Si_W.CO2_At_2_DIC_Si_W_F CO2 [C^{13}$S],M1.C_CO2_At_2_DIC_Si_W.CO2_At_2_DIC_Si_W_F CO2 $\delta^{13}$C [VPDB]
199999.0,5.198676430061725e+16,3.229793156739406e+16,1.9688832733223188e+16,53248.426887447626,0.00028361573540980497,46456412843458.13,7191608252607.672,39264804590850.46,484869.13116749213,-46463463826451.58,-4214887137042.8984,-42248576689408.68,891006.5063681025,2941176470588.2354,2908654760984.501,32521709603.734375,-5.0,2948733618915.8604,0.0,0.0,0.0
199999.1,5.198676424999238e+16,3.229792476075558e+16,1.9688839489236804e+16,53248.456934827875,0.0002836157351336191,46456412858669.18,7191594916530.25,39264817942138.93,484870.1973734544,-46463463757807.37,-4214873770760.2656,-42248589987047.1,891009.6158727972,2941176470588.2354,2908654760984.501,32521709603.734375,-5.0,2948733618341.6577,0.0,0.0,0.0
199999.2,5.198676419937047e+16,3.2297917954121132e+16,1.968884624524934e+16,53248.48698221104,0.0002836157348574494,46456412815299.25,7191581543181.469,39264831272117.78,484871.26583777607,-46463463743344.4,-4214860437721.5938,-42248603305622.805,891012.7188036802,2941176470588.2354,2908654760984.501,32521709603.734375,-5.0,2948733617767.361,0.0,0.0,0.0
199999.30000000002,5.19867641487532e+16,3.229791114749182e+16,1.968885300126138e+16,53248.517029596886,0.00028361573458130494,46456412764479.63,7191568164984.133,39264844599495.5,484872.3346014595,-46463463738383.88,-4214847110883.6562,-42248616627500.23,891015.8205116027,2941176470588.2354,2908654760984.501,32521709603.734375,-5.0,2948733617193.0967,0.0,0.0,0.0
199999.40000000002,5.198676409812759e+16,3.2297904340859484e+16,1.9688859757268108e+16,53248.54707698584,0.00028361573430511506,46456412779688.414,7191554828917.8125,39264857950770.6,484873.4008183901,-46463463669639.66,-4214833744554.7188,-42248629925084.94,891018.9300840303,2941176470588.2354,2908654760984.501,32521709603.734375,-5.0,2948733616618.886,0.0,0.0,0.0
199999.5,5.198676404750493e+16,3.2297897534231176e+16,1.968886651327375e+16,53248.57712437771,0.00028361573402894123,46456412736355.37,7191541455605.461,39264871280749.91,484874.46929216903,-46463463655184.18,-4214820411535.664,-42248643243648.516,891022.0330694367,2941176470588.2354,2908654760984.501,32521709603.734375,-5.0,2948733616044.581,0.0,0.0,0.0
199999.6,5.1986763996886904e+16,3.2297890727608e+16,1.9688873269278904e+16,53248.607171772244,0.0002836157337527927,46456412685552.18,7191528077431.508,39264884608120.67,484875.5380661036,-46463463650179.09,-4214807084684.5547,-42248656565494.54,891025.1348383906,2941176470588.2354,2908654760984.501,32521709603.734375,-5.0,2948733615470.308,0.0,0.0,0.0
199999.7,5.198676394626056e+16,3.229788392098181e+16,1.968888002527875e+16,53248.63721916993,0.0002836157334765988,46456412700778.29,7191514741389.086,39264897959389.2,484876.6042932223,-46463463581606.17,-4214793718475.5938,-42248669863130.58,891028.2444455784,2941176470588.2354,2908654760984.501,32521709603.734375,-5.0,2948733614896.0894,0.0,0.0,0.0
199999.80000000002,5.198676389563715e+16,3.229787711435964e+16,1.968888678127751e+16,53248.667266570505,0.0002836157332004209,46456412657500.17,7191501368124.406,39264911289375.766,484877.6727757834,-46463463567159.055,-4214780385476.8125,-42248683181682.24,891031.3474853755,2941176470588.2354,2908654760984.501,32521709603.734375,-5.0,2948733614321.7754,0.0,0.0,0.0
