M1.L_b.DIC Time [a],M1.L_b.DIC DIC [mol],M1.L_b.DIC C^{12}$S [mol],M1.L_b.DIC C^{13}$S [mol],M1.L_b.DIC $\delta^{13}$C [VPDB],M1.L_b.DIC DIC [mol/l],M1.CG_L_b2H_b.C_DIC_2_DIC_thc.thc_F DIC [mol/a],M1.CG_L_b2H_b.C_DIC_2_DIC_thc.thc_F DIC [C^{12}$S],M1.CG_L_b2H_b.C_DIC_2_DIC_thc.thc_F DIC [C^{13}$S],M1.CG_L_b2H_b.C_DIC_2_DIC_thc.thc_F DIC $\delta^{13}$C [VPDB],M1.CG_D_b2L_b.C_DIC_2_DIC_thc.thc_F DIC [mol/a],M1.CG_D_b2L_b.C_DIC_2_DIC_thc.thc_F DIC [C^{12}$S],M1.CG_D_b2L_b.C_DIC_2_DIC_thc.thc_F DIC [C^{13}$S],M1.CG_D_b2L_b.C_DIC_2_DIC_thc.thc_F DIC $\delta^{13}$C [VPDB],M1.CG_L_b2D_b.C_DIC_2_DIC_POM.POM_F DIC [mol/a],M1.CG_L_b2D_b.C_DIC_2_DIC_POM.POM_F DIC [C^{12}$S],M1.CG_L_b2D_b.C_DIC_2_DIC_POM.POM_F DIC [C^{13}$S],M1.CG_L_b2D_b.C_DIC_2_DIC_POM.POM_F DIC $\delta^{13}$C [VPDB],M1.CG_L_b2D_b.C_DIC_2_DIC_PIC_DIC.PIC_DIC_F DIC [mol/a],M1.CG_L_b2D_b.C_DIC_2_DIC_PIC_DIC.PIC_DIC_F DIC [C^{12}$S],M1.CG_L_b2D_b.C_DIC_2_DIC_PIC_DIC.PIC_DIC_F DIC [C^{13}$S],M1.CG_L_b2D_b.C_DIC_2_DIC_PIC_DIC.PIC_DIC_F DIC $\delta^{13}$C [VPDB],C_L_b_2_CO2_At.CO2_F DIC [mol/a],C_L_b_2_CO2_At.CO2_F DIC [C^{12}$S],C_L_b_2_CO2_At.CO2_F DIC [C^{13}$S],C_L_b_2_CO2_At.CO2_F DIC $\delta^{13}$C [VPDB],M1.C_DIC_2_DIC_Ca_W.DIC_2_DIC_Ca_W_F DIC [mol/a],M1.C_DIC_2_DIC_Ca_W.DIC_2_DIC_Ca_W_F DIC [C^{12}$S],M1.C_DIC_2_DIC_Ca_W.DIC_2_DIC_Ca_W_F DIC [C^{13}$S],M1.C_DIC_2_DIC_Ca_W.DIC_2_DIC_Ca_W_F DIC $\delta^{13}$C [VPDB],M1.C_CO2_At_2_DIC_Si_W.CO2_At_2_DIC_Si_W_F DIC [mol/a],M1.C_CO2_At_2_DIC_Si_W.CO2_At_2_DIC_Si_W_F DIC [C^{12}$S],M1.C_CO2_At_2_DIC_Si_W.CO2_At_2_DIC_Si_W_F DIC [C^{13}$S],M1.C_CO2_At_2_DIC_Si_W.CO2_At_2_DIC_Si_W_F DIC $\delta^{13}$C [VPDB]
199999.0,5.390493500586887e+16,3.301590572119596e+16,2.088902928467291e+16,55303.699615551035,0.0019053013696053063,1503168463307320.2,920666707887286.9,582501755420033.4,55303.668046614875,1799587772616084.8,1181920484460828.2,617667288155256.5,45505.91905514863,200000000000000.0,197777534291657.78,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0,-46463463826451.58,-4214887137042.8984,-42248576689408.68,891006.5063681025,7095144443544.8955,0.0,0.0,0.0,2948733618915.8604,0.0,0.0,0.0
199999.1,5.390493497818075e+16,3.3015898530655876e+16,2.0889036447524876e+16,55303.731184499746,0.0019053013686266536,1503168462536409.8,920666507375881.6,582501955160528.1,55303.699615551035,1799587771353901.8,1181920270324973.2,617667501028928.5,45505.94350878,200000000000000.0,197777534291657.78,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0,-46463463757807.37,-4214873770760.2656,-42248589987047.1,891009.6158727972,7095144440781.643,0.0,0.0,0.0,2948733618341.6577,0.0,0.0,0.0
199999.2,5.390493495058527e+16,3.301589134017903e+16,2.088904361040624e+16,55303.762753433606,0.0019053013676512752,1503168461764311.5,920666306863756.2,582502154900555.2,55303.731184499746,1799587771497108.2,1181920057112208.8,617667714384899.5,45505.9679624123,200000000000000.0,197777534291657.78,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0,-46463463743344.4,-4214860437721.5938,-42248603305622.805,891012.7188036802,7095144438017.934,0.0,0.0,0.0,2948733617767.361,0.0,0.0,0.0
199999.30000000002,5.390493492294068e+16,3.3015884149672332e+16,2.0889050773268348e+16,55303.794322380214,0.001905301366674161,1503168460994796.5,920666106353394.5,582502354641402.0,55303.762753433606,1799587770234840.5,1181919842976436.2,617667927258404.2,45505.99241604552,200000000000000.0,197777534291657.78,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0,-46463463738383.88,-4214847110883.6562,-42248616627500.23,891015.8205116027,7095144435254.386,0.0,0.0,0.0,2948733617193.0967,0.0,0.0,0.0
199999.40000000002,5.39049348952535e+16,3.301587695913982e+16,2.0889057936113684e+16,55303.825891339395,0.0019053013656955416,1503168460223912.0,920665905842199.9,582502554381712.1,55303.794322380214,1799587768972656.0,1181919628840787.8,617668140131868.2,45506.016869679675,200000000000000.0,197777534291657.78,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0,-46463463669639.66,-4214833744554.7188,-42248629925084.94,891018.9300840303,7095144432491.09,0.0,0.0,0.0,2948733616618.886,0.0,0.0,0.0
199999.5,5.390493486765897e+16,3.3015869768670544e+16,2.0889065098988424e+16,55303.85746028375,0.0019053013647201966,1503168459451840.2,920665705330285.9,582502754121554.4,55303.825891339395,1799587769115861.2,1181919415628229.0,617668353487632.2,45506.04132331477,200000000000000.0,197777534291657.78,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0,-46463463655184.18,-4214820411535.664,-42248643243648.516,891022.0330694367,7095144429727.34,0.0,0.0,0.0,2948733616044.581,0.0,0.0,0.0
199999.6,5.390493484001532e+16,3.3015862578171412e+16,2.0889072261843908e+16,55303.889029240854,0.0019053013637431158,1503168458682351.5,920665504820135.1,582502953862216.4,55303.85746028375,1799587767853592.2,1181919201492663.2,617668566360929.0,45506.06577695078,200000000000000.0,197777534291657.78,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0,-46463463650179.09,-4214807084684.5547,-42248656565494.54,891025.1348383906,7095144426963.751,0.0,0.0,0.0,2948733615470.308,0.0,0.0,0.0
199999.7,5.3904934812329064e+16,3.3015855387646456e+16,2.088907942468261e+16,55303.92059821052,0.001905301362764529,1503168457911493.2,920665304309151.8,582503153602341.5,55303.889029240854,1799587766591406.8,1181918987357221.2,617668779234185.5,45506.090230587724,200000000000000.0,197777534291657.78,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0,-46463463581606.17,-4214793718475.5938,-42248669863130.58,891028.2444455784,7095144424200.417,0.0,0.0,0.0,2948733614896.0894,0.0,0.0,0.0
199999.80000000002,5.390493478473544e+16,3.3015848197184736e+16,2.0889086587550704e+16,55303.95216716533,0.0019053013617892163,1503168457139447.0,920665103797448.2,582503353341998.8,55303.92059821052,1799587766734610.0,1181918774144868.5,617668992589741.5,45506.11468422563,200000000000000.0,197777534291657.78,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0,-46463463567159.055,-4214780385476.8125,-42248683181682.24,891031.3474853755,7095144421436.626,0.0,0.0,0.0,2948733614321.7754,0.0,0.0,0.0
