M1.H_b.cs Time [a],H,CA,HCO3,CO3,CO2aq,Omega
0.0,7.084480419753817e-09,0.00225406664753,0.0019874118808446,0.0001333273833426,1.626525964972263e-05,3.043150889708879
200.0,7.076336997766412e-09,0.0022543977276638645,0.001987433228169851,0.0001334822497470068,1.624673767467149e-05,3.0466856612188113
400.0,7.072292150019318e-09,0.0022544459469641728,0.0019873411397467677,0.00013355240360870256,1.62366986403296e-05,3.0482868985736857
600.0,7.069305084156145e-09,0.002254498469748072,0.0019872879516650436,0.00013360525904151433,1.6229406513134986e-05,3.0494933053399067
800.0,7.0666779922799205e-09,0.002254550102278206,0.001987245902639783,0.00013365209981921144,1.6223032078219743e-05,3.050562429706934
1000.0,7.064197720827884e-09,0.0022545989051303357,0.001987206196529627,0.00013369635430035445,1.6217014068132954e-05,3.051572522759745
1200.0,7.061798159853527e-09,0.00225464433438419,0.001987166156660912,0.0001337390888616391,1.6211178843119267e-05,3.052547924173425
1400.0,7.059458010706667e-09,0.0022546862918028424,0.001987124990323925,0.00013378065073945864,1.6205471037485748e-05,3.053496559497194
1600.0,7.05716957464477e-09,0.0022547248331163472,0.001987082493224257,0.0001338211699460452,1.6199871313746575e-05,3.054421396214774
1800.0,7.054929605079405e-09,0.002254760012051604,0.0019870386074948804,0.00013386070227836173,1.619437175078009e-05,3.0553237078723283
2000.0,7.052736075801153e-09,0.0022547919082258365,0.001986993338591414,0.0001338992848172113,1.6188967745449628e-05,3.0562043408262167
2200.0,7.050599643211833e-09,0.0022548199700033193,0.0019869465600892947,0.00013393670495701233,1.61836827315639e-05,3.057058442428405
2400.0,7.0485212055005595e-09,0.002254844619230019,0.001986898677258193,0.00013397297098591298,1.617852207261186e-05,3.0578862018529755
2600.0,7.046493504464608e-09,0.0022548661103629773,0.001986849674433068,0.0001340082179649546,1.617346898001213e-05,3.0586907018209555
2800.0,7.04451362134635e-09,0.00225488449818474,0.001986799504906207,0.0001340424966392664,1.616851637380114e-05,3.0594731005721703
3000.0,7.042579644766899e-09,0.002254899865195907,0.0019867481799141894,0.00013407584264085877,1.616365995821896e-05,3.0602342113947927
3200.0,7.0407084120919236e-09,0.0022549113378752517,0.001986695497468329,0.00013410792020346145,1.6158936732934117e-05,3.060966370541149
3400.0,7.038901954173396e-09,0.002254919513849496,0.0019866420555811324,0.00013413872913418186,1.6154356218851503e-05,3.061669573608532
3600.0,7.037150290504923e-09,0.0022549247062850467,0.0019865877980897615,0.00013416845409764257,1.614989504740926e-05,3.0623480355023616
3800.0,7.035449501663782e-09,0.0022549269949123964,0.001986532666160489,0.00013419716437595378,1.6145543740461905e-05,3.063003337562569
4000.0,7.033797307073436e-09,0.0022549264761367606,0.0019864766704382813,0.00013422490284923966,1.614129714642737e-05,3.0636364585129905
4200.0,7.0321983597944985e-09,0.002254922879611089,0.001986419731495421,0.00013425157405783398,1.613716529320127e-05,3.0642452195201337
4400.0,7.030652152383082e-09,0.0022549164917776083,0.001986362086935497,0.00013427720242105553,1.6133148940883704e-05,3.0648301779464084
4600.0,7.029154428331679e-09,0.002254907467293522,0.001986303731943885,0.00013430186767481858,1.612923827655705e-05,3.065393153736168
4800.0,7.027703046606561e-09,0.0022548958754481513,0.0019862446574438444,0.00013432560900215342,1.61254283077008e-05,3.0659350412283732
5000.0,7.026296329238002e-09,0.0022548818079224085,0.0019861848895057757,0.0001343484592083164,1.6121715389985332e-05,3.0664565891915263
5200.0,7.024982273407282e-09,0.00225486271904042,0.0019861238048624564,0.00013436945708898175,1.61182045848216e-05,3.0669358584731006
5400.0,7.023768087804214e-09,0.0022548401679949597,0.0019860630231179456,0.000134388572438507,1.611492555925122e-05,3.067372159639871
