M1.D_b.DIC Time [a],M1.D_b.DIC DIC [mol],M1.D_b.DIC C^{12}$S [mol],M1.D_b.DIC C^{13}$S [mol],M1.D_b.DIC $\delta^{13}$C [VPDB],M1.D_b.DIC DIC [mol/l],M1.CG_H_b2D_b.C_DIC_2_DIC_thc.thc_F DIC [mol/a],M1.CG_H_b2D_b.C_DIC_2_DIC_thc.thc_F DIC [C^{12}$S],M1.CG_H_b2D_b.C_DIC_2_DIC_thc.thc_F DIC [C^{13}$S],M1.CG_H_b2D_b.C_DIC_2_DIC_thc.thc_F DIC $\delta^{13}$C [VPDB],M1.CG_D_b2L_b.C_DIC_2_DIC_thc.thc_F DIC [mol/a],M1.CG_D_b2L_b.C_DIC_2_DIC_thc.thc_F DIC [C^{12}$S],M1.CG_D_b2L_b.C_DIC_2_DIC_thc.thc_F DIC [C^{13}$S],M1.CG_D_b2L_b.C_DIC_2_DIC_thc.thc_F DIC $\delta^{13}$C [VPDB],M1.CG_H_b2D_b.C_DIC_2_DIC_mix_f.mix_f_F DIC [mol/a],M1.CG_H_b2D_b.C_DIC_2_DIC_mix_f.mix_f_F DIC [C^{12}$S],M1.CG_H_b2D_b.C_DIC_2_DIC_mix_f.mix_f_F DIC [C^{13}$S],M1.CG_H_b2D_b.C_DIC_2_DIC_mix_f.mix_f_F DIC $\delta^{13}$C [VPDB],M1.CG_D_b2H_b.C_DIC_2_DIC_mix_b.mix_b_F DIC [mol/a],M1.CG_D_b2H_b.C_DIC_2_DIC_mix_b.mix_b_F DIC [C^{12}$S],M1.CG_D_b2H_b.C_DIC_2_DIC_mix_b.mix_b_F DIC [C^{13}$S],M1.CG_D_b2H_b.C_DIC_2_DIC_mix_b.mix_b_F DIC $\delta^{13}$C [VPDB],M1.CG_L_b2D_b.C_DIC_2_DIC_POM.POM_F DIC [mol/a],M1.CG_L_b2D_b.C_DIC_2_DIC_POM.POM_F DIC [C^{12}$S],M1.CG_L_b2D_b.C_DIC_2_DIC_POM.POM_F DIC [C^{13}$S],M1.CG_L_b2D_b.C_DIC_2_DIC_POM.POM_F DIC $\delta^{13}$C [VPDB],M1.CG_L_b2D_b.C_DIC_2_DIC_PIC_DIC.PIC_DIC_F DIC [mol/a],M1.CG_L_b2D_b.C_DIC_2_DIC_PIC_DIC.PIC_DIC_F DIC [C^{12}$S],M1.CG_L_b2D_b.C_DIC_2_DIC_PIC_DIC.PIC_DIC_F DIC [C^{13}$S],M1.CG_L_b2D_b.C_DIC_2_DIC_PIC_DIC.PIC_DIC_F DIC $\delta^{13}$C [VPDB]
2000.0,2.9499958569906176e+18,1.9305089099961966e+18,1.019486946994421e+18,45995.01025964699,0.0022810551932784984,1686029150525095.2,1062250269596221.5,623778880928873.8,51257.14830550041,1799615689000856.2,1177688008636351.5,621927680364504.8,45994.98583053412,2023234980630114.2,1274700323515465.8,748534657114648.5,51257.14830550041,2159538826801027.5,1413225610363621.8,746313216437405.8,45994.98583053412,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
2200.0,2.9499787032512456e+18,1.9298043533093453e+18,1.0201743499419003e+18,46043.866369347474,0.0022810419293187592,1686017597779873.0,1061819946643560.4,624197651136312.6,51313.42326048515,1799605225406322.2,1177258201223716.8,622347024182605.5,46043.84194233925,2023221117335847.5,1274183935972272.5,749037181363575.0,51313.42326048515,2159526270487586.8,1412709841468460.0,746816429019126.8,46043.84194233925,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
2400.0,2.9499586202294574e+18,1.9290984448945444e+18,1.020860175334913e+18,46092.718390896895,0.00228102640032029,1686004361369671.0,1061388859456408.6,624615501913262.4,51369.70446698769,1799592974853708.0,1176827569217715.5,622765405635992.5,46092.69396585969,2023205233643605.2,1273666631347690.5,749538602295914.8,51369.70446698769,2159511569824449.8,1412193083061258.8,747318486763191.0,46092.69396585969,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
2600.0,2.9499357824955167e+18,1.9283912964281408e+18,1.0215444860673759e+18,46141.56659487665,0.002281008741267826,1685989522245586.2,1060957060231149.4,625032462014436.9,51425.991886891396,1799579043706504.8,1176396180659392.0,623182863047112.8,46141.542171691195,2023187426694703.8,1273148472277379.5,750038954417324.2,51425.991886891396,2159494852447805.8,1411675416791270.5,747819435656535.2,46141.542171691195,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
2800.0,2.949910225707514e+18,1.927682929479498e+18,1.0222272962280159e+18,46190.41119372562,0.0022809889797336326,1685973078007232.0,1060524547781300.8,625448530225931.2,51482.28559801515,1799563453878530.0,1175964048811977.2,623599405066552.8,46190.386772295904,2023167693608678.5,1272629457337561.0,750538236271117.5,51482.28559801515,2159476144654236.0,1411156858574372.8,748319286079863.2,46190.386772295904,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
3000.0,2.94988206009471e+18,1.926973414718511e+18,1.0229086453761987e+18,46239.25237057453,0.0022809672009513992,1685955062242016.5,1060091343674451.5,625863718567565.0,51538.58566179528,1799546272483856.0,1175531216701790.5,624015055782065.5,46239.22795081277,2023146074690419.8,1272109612409341.8,751036462281078.0,51538.58566179528,2159455526980627.2,1410637460042148.8,748818066938478.5,46239.22795081277,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
3200.0,2.9498512851388483e+18,1.9262627520490757e+18,1.0235885330897725e+18,46288.090191808355,0.002280943404520389,1685935079884062.8,1059657197352945.0,626277882531117.8,51594.89249659643,1799527499372721.5,1175097684377939.5,624429814994782.0,46288.06577373995,2023122095860875.2,1271588636823534.0,751533459037341.2,51594.89249659643,2159432999247266.0,1410117221253527.5,749315777993738.5,46288.06577373995,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
3400.0,2.949817850929318e+18,1.9255509085545252e+18,1.0242669423747927e+18,46336.92476488211,0.0022809175518477146,1685913610088600.2,1059222409862353.1,626691200226247.1,51651.20626061875,1799507103947779.2,1174663431663625.2,624843672284154.0,46336.90034834862,2023096332106320.2,1271066891834823.8,752029440271496.5,51651.20626061875,2159408524737335.2,1409596117996350.2,749812406740985.0,46336.90034834862,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
3600.0,2.949781918628491e+18,1.9248379860488125e+18,1.0249439325796782e+18,46385.756413434356,0.0022808897675505894,1685890735799433.0,1058787034562025.5,627103701237407.5,51707.526894968,1799485184571890.0,1174228520700199.8,625256663871690.2,46385.73199829964,2023068882959319.8,1270544441474430.8,752524441484889.0,51707.526894968,2159382221486268.0,1409074224840239.8,750307996646028.2,46385.73199829964,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
3800.0,2.9497436131104067e+18,1.9241240637651581e+18,1.0256195493452485e+18,46434.58537393774,0.0022808601481866335,1685866457782020.5,1058351072393912.2,627515385388108.2,51763.85444016389,1799461817331951.0,1173792999763323.0,625668817568628.0,46434.56096009592,2023039749338424.8,1270021286872694.8,753018462465730.0,51763.85444016389,2159354180798341.2,1408551599715987.8,750802581082353.5,46434.56096009592,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
4000.0,2.949702997468979e+18,1.9234091810720207e+18,1.0262938163969585e+18,46483.411845351475,0.002280828742542593,1685840814200158.8,1057914547738032.2,627926266462126.5,51820.18894070168,1799437040877106.2,1173356892973219.0,626080147903887.2,46483.3874327064,2023008977040190.5,1269497457285638.8,753511519754551.8,51820.18894070168,2159324449052527.8,1408028271567863.0,751296177484664.8,46483.3874327064,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
4200.0,2.9496601109553265e+18,1.922693362478363e+18,1.0269667484769636e+18,46532.23597449187,0.0022807955809690072,1685813674989602.8,1057477378085053.8,628336296904549.0,51876.53061886475,1799410879070700.0,1172920215227835.2,626490663842864.8,46532.211562993776,2022976409987523.5,1268972853702064.8,754003556285458.8,51876.53061886475,2159293054884840.0,1407504258273402.5,751788796611437.5,46532.211562993776,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
4400.0,2.9496150144673167e+18,1.9219766464606666e+18,1.0276383680066501e+18,46581.057915671,0.0022807607105545524,1685785247470379.0,1057039693835582.0,628745553634797.0,51932.879532384926,1799383369062861.0,1172482989999922.5,626900379062938.5,46581.03350520749,2022942296964454.8,1268447632602698.5,754494664361756.2,51932.879532384926,2159260042875433.2,1406979587999907.0,752280454875526.2,46581.03350520749,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
4600.0,2.949567794890114e+18,1.921259087402489e+18,1.028308707487625e+18,46629.87789206434,0.0022807241984823244,1685755583009086.2,1056601527695526.0,629154055313560.2,51989.23570402143,1799354563880269.8,1172045250480705.8,627309313399564.0,46629.853482533494,2022906699610903.8,1267921833234631.5,754984866376272.2,51989.23570402143,2159225476656324.0,1406454300576847.2,752771176079476.8,46629.853482533494,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
4800.0,2.949518531853553e+18,1.9205407353648865e+18,1.0289777964886666e+18,46678.69609305917,0.002280686106325307,1685724701418982.5,1056162892243119.2,629561809175863.2,52045.59919781674,1799324512059042.8,1171607027182456.2,627717484876586.5,46678.67168437217,2022869641702779.0,1267395470691743.0,755474171011036.0,52045.59919781674,2159189414470851.5,1405928432618947.8,753260981851903.8,46678.67168437217,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
5000.0,2.949467305387778e+18,1.9198216408297597e+18,1.0296456645580183e+18,46727.51269181535,0.0022806464959660207,1685692646274270.2,1055723815083654.4,629968831190615.9,52101.97005561097,1799293262444961.2,1171168350916898.0,628124911528063.2,46727.488283887826,2022831175529124.5,1266868578100385.5,755962597428739.0,52101.97005561097,2159151914933953.5,1405402021100277.8,753749893833675.8,46727.488283887826,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
5200.0,2.9494139719100175e+18,1.9191017128597632e+18,1.0303122590502543e+18,46776.32756588536,0.002280605256380503,1685658250409116.2,1055283557884269.1,630374692524847.1,52158.34938710362,1799260727590237.5,1170729166299334.0,628531561290903.5,46776.30315893898,2022789900490939.5,1266340269461123.0,756449631029816.5,52158.34938710362,2159112873108285.2,1404874999559201.2,754237873549084.0,46776.30315893898,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
5400.0,2.949358371696602e+18,1.9183808484022246e+18,1.0309775232943775e+18,46825.14071718531,0.0022805622640640027,1685622791169022.8,1054842920039403.5,630779871129619.2,52214.737385829,1799226809867293.0,1170289410344393.5,628937399522899.5,46825.11631092797,2022747349402827.5,1265811504047284.2,756935845355543.2,52214.737385829,2159072171840751.8,1404347292413272.2,754724879427479.5,46825.11631092797,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
5600.0,2.9493007657942523e+18,1.9176592097871493e+18,1.031641556007103e+18,46873.95274376117,0.002280517720868321,1685586392002717.0,1054401980930252.5,631184411072464.5,52271.13383241957,1799191668528419.0,1169849182081579.0,629342486446840.0,46873.9283379629,2022703670403260.5,1265282377116303.0,757421293286957.5,52271.13383241957,2159030002234102.8,1403819018497894.8,755210983736208.0,46873.9283379629,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
5800.0,2.9492413293892357e+18,1.9169369064968817e+18,1.032304422892354e+18,46922.76401663948,0.0022804717622545104,1685548995801045.2,1053960705271506.1,631588290529539.1,52327.5387285049,1799155410523660.2,1169408548350530.2,629746862173130.0,46922.739611145174,2022658794961254.5,1264752846325807.5,757905948635447.0,52327.5387285049,2158986492628392.5,1403290258020636.2,755696234607756.2,46922.739611145174,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
