M1.D_b.TA Time [a],M1.D_b.TA TA [mol],M1.D_b.TA C^{12}$S [mol],M1.D_b.TA C^{13}$S [mol],M1.D_b.TA $\delta^{13}$C [VPDB],M1.D_b.TA TA [mol/l],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA [mol/a],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA [C^{12}$S],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA [C^{13}$S],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA $\delta^{13}$C [VPDB],M1.CG_D_b2L_b.C_TA_2_TA_thc.thc_F TA [mol/a],M1.CG_D_b2L_b.C_TA_2_TA_thc.thc_F TA [C^{12}$S],M1.CG_D_b2L_b.C_TA_2_TA_thc.thc_F TA [C^{13}$S],M1.CG_D_b2L_b.C_TA_2_TA_thc.thc_F TA $\delta^{13}$C [VPDB],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA [mol/a],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA [C^{12}$S],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA [C^{13}$S],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA $\delta^{13}$C [VPDB],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA [mol/a],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA [C^{12}$S],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA [C^{13}$S],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA $\delta^{13}$C [VPDB],M1.CG_L_b2D_b.C_TA_2_TA_PIC_TA.PIC_TA_F TA [mol/a],M1.CG_L_b2D_b.C_TA_2_TA_PIC_TA.PIC_TA_F TA [C^{12}$S],M1.CG_L_b2D_b.C_TA_2_TA_PIC_TA.PIC_TA_F TA [C^{13}$S],M1.CG_L_b2D_b.C_TA_2_TA_PIC_TA.PIC_TA_F TA $\delta^{13}$C [VPDB]
2000.0,3.083155166164559e+18,1.1329374871727335e+19,-8.246217667851503e+18,-65772.51147169656,0.0023840193154160984,1835705144027954.2,6891649923383880.0,-5055944779355926.0,-66286.14166500175,1880848179902432.5,6911368066556142.0,-5030519886653710.0,-65772.49562055229,2202846172833545.2,8269979908060656.0,-6067133735227111.0,-66286.14166500175,2257017815882919.0,8293641679867371.0,-6036623863984452.0,-65772.49562055229,120000000000000.0,118666520574994.69,1333479425005.328,0.0
2200.0,3.08321463236346e+18,1.134444154331972e+19,-8.261224870859276e+18,-65804.20866323532,0.002384065297067736,1835741720682107.0,6900883609683586.0,-5065141889001479.0,-66317.38698579068,1880884458081996.2,6920559334282062.0,-5039674876200066.0,-65804.1928160835,2202890064818528.5,8281060331620304.0,-6078170266801776.0,-66317.38698579068,2257061349698395.5,8304671201138475.0,-6047609851440080.0,-65804.1928160835,120000000000000.0,118666520574994.69,1333479425005.328,0.0
2400.0,3.08326925595809e+18,1.135952686816038e+19,-8.276255569603416e+18,-65835.89937090072,0.0023841075342233954,1835775220134689.8,6910128717723777.0,-5074353497589087.0,-66348.62750909757,1880917782166299.8,6929761981231191.0,-5048844199064891.0,-65835.88352666228,2202930264161627.8,8292154461268533.0,-6089224197106905.0,-66348.62750909757,2257101338599560.0,8315714377477430.0,-6058613038877870.0,-65835.88352666228,120000000000000.0,118666520574994.69,1333479425005.328,0.0
2600.0,3.0833192718948475e+18,1.1374630914688674e+19,-8.291309598018736e+18,-65867.58177506189,0.0023841462085530617,1835805891686230.2,6919385421678354.0,-5083579529992124.0,-66379.86048751096,1880948295198250.5,6938976049136506.0,-5058027753938256.0,-65867.56593623909,2202967070023476.2,8303262506014024.0,-6100295435990548.0,-66379.86048751096,2257137954237900.5,8326771258963807.0,-6069633304725906.0,-65867.56593623909,120000000000000.0,118666520574994.69,1333479425005.328,0.0
2800.0,3.0833647003185894e+18,1.138975375821255e+19,-8.306387010751347e+18,-65899.25575037283,0.0023841813356335465,1835833797840314.5,6928653760398791.0,-5092819962558476.0,-66411.08512388844,1880976009775701.8,6948201583939823.0,-5067225574164121.0,-65899.23991550796,2203000557408377.5,8314384512478550.0,-6111383955070172.0,-66411.08512388844,2257171211730842.5,8337841900727788.0,-6080670688996946.0,-65899.23991550796,120000000000000.0,118666520574994.69,1333479425005.328,0.0
3000.0,3.0834057355647145e+18,1.1404895471706442e+19,-8.321487686881872e+18,-65930.9198147813,0.0023842130657327804,1835859016169341.5,6937933774583794.0,-5102074758414452.0,-66442.30043771675,1881001044187110.0,6957438630158989.0,-5076437585971879.0,-65930.90398579942,2203030819403210.0,8325520529500555.0,-6122489710097345.0,-66442.30043771675,2257201253024532.0,8348926356190787.0,-6091725103166255.0,-65930.90398579942,120000000000000.0,118666520574994.69,1333479425005.328,0.0
3200.0,3.083442368630619e+18,1.1420055986561237e+19,-8.336611566432041e+18,-65962.57377365197,0.002384241391889588,1835880743125767.5,6947224649753562.0,-5111343906627794.0,-66473.5138449308,1881023393274467.2,6966687146043393.0,-5085663752768926.0,-65962.55794856248,2203056891750921.2,8336669579704274.0,-6133612687953353.0,-66473.5138449308,2257228071929360.5,8360024575252072.0,-6102796503322712.0,-65962.55794856248,120000000000000.0,118666520574994.69,1333479425005.328,0.0
3400.0,3.083474367473165e+18,1.1435235105634861e+19,-8.351758684569985e+18,-65994.21890521959,0.0023842661346789025,1835899435709041.0,6956526858714762.0,-5120627423005721.0,-66504.72095709549,1881042915238875.0,6975947011248878.0,-5094904096010003.0,-65994.20308486898,2203079322850849.2,8347832230457716.0,-6144752907606867.0,-66504.72095709549,2257251498286650.0,8371136413498654.0,-6113884915212004.0,-65994.20308486898,120000000000000.0,118666520574994.69,1333479425005.328,0.0
3600.0,3.083501891208186e+18,1.1450432896907114e+19,-8.366928950011202e+18,-66025.85399484956,0.0023842874171354726,1835915408143801.2,6965840642515400.0,-5129925234371599.0,-66535.91844443127,1881059707208802.8,6985218267219043.0,-5104158560010240.0,-66025.83817920554,2203098489772561.8,8359008771018481.0,-6155910281245919.0,-66535.91844443127,2257271648650563.5,8382261920662852.0,-6124990272012288.0,-66025.83817920554,120000000000000.0,118666520574994.69,1333479425005.328,0.0
3800.0,3.083525122820641e+18,1.1465649439229704e+19,-8.382122258954809e+18,-66057.47767485723,0.0023843053807506122,1835928749463114.2,6975166040519494.0,-5139237291056380.0,-66567.10518647349,1881073880612656.8,6994500962057775.0,-5113427081445118.0,-66057.46186643268,2203114499355737.2,8370199248623393.0,-6167084749267656.0,-66567.10518647349,2257288656735188.0,8393401154469329.0,-6136112497734141.0,-66057.46186643268,120000000000000.0,118666520574994.69,1333479425005.328,0.0
