M1.CO2_At Time [a],M1.CO2_At CO2 [mol],M1.CO2_At C^{12}$S [mol],M1.CO2_At C^{13}$S [mol],M1.CO2_At $\delta^{13}$C [VPDB],M1.CO2_At CO2 [mol/l],C_H_b_2_CO2_At.CO2_F CO2 [mol/a],C_H_b_2_CO2_At.CO2_F CO2 [C^{12}$S],C_H_b_2_CO2_At.CO2_F CO2 [C^{13}$S],C_H_b_2_CO2_At.CO2_F CO2 $\delta^{13}$C [VPDB],C_L_b_2_CO2_At.CO2_F CO2 [mol/a],C_L_b_2_CO2_At.CO2_F CO2 [C^{12}$S],C_L_b_2_CO2_At.CO2_F CO2 [C^{13}$S],C_L_b_2_CO2_At.CO2_F CO2 $\delta^{13}$C [VPDB],M1.volcanic.DIC_2_CO2_At_F CO2 [mol/a],M1.volcanic.DIC_2_CO2_At_F CO2 [C^{12}$S],M1.volcanic.DIC_2_CO2_At_F CO2 [C^{13}$S],M1.volcanic.DIC_2_CO2_At_F CO2 $\delta^{13}$C [VPDB],M1.C_CO2_At_2_DIC_Si_W.CO2_At_2_DIC_Si_W_F CO2 [mol/a],M1.C_CO2_At_2_DIC_Si_W.CO2_At_2_DIC_Si_W_F CO2 [C^{12}$S],M1.C_CO2_At_2_DIC_Si_W.CO2_At_2_DIC_Si_W_F CO2 [C^{13}$S],M1.C_CO2_At_2_DIC_Si_W.CO2_At_2_DIC_Si_W_F CO2 $\delta^{13}$C [VPDB]
2000.0,5.175067898281179e+16,3.2015620804791104e+16,1.973505817802069e+16,53855.27201727316,0.0002823277631359072,46459491562614.06,6990666540664.703,39468825021949.36,501432.2415701874,-46383317862898.19,-3964451150969.953,-42418866711928.234,951177.423563974,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2946050640252.7183,0.0,0.0,0.0
2200.0,5.173468923134796e+16,3.1992254223767612e+16,1.9742435007580348e+16,53915.856846309514,0.00028224053044925235,46470093980609.086,6974901243902.664,39495192736706.42,502904.2996907268,-46395843736931.766,-3950084374161.4688,-42445759362770.3,955246.425581266,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2945868563207.3315,0.0,0.0,0.0
2400.0,5.171907605501122e+16,3.196913967713075e+16,1.9749936377880464e+16,53976.44349787822,0.00028215535218227615,46480456717659.445,6958894335758.367,39521562381901.08,504400.59892319946,-46407742837316.0,-3935231685242.8594,-42472511152073.14,959460.5297274879,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2945690731205.5283,0.0,0.0,0.0
2600.0,5.170378516229335e+16,3.19462430244141e+16,1.9757542137879252e+16,54037.033226040294,0.0002820719321456266,46490513700063.76,6942619052474.422,39547894647589.336,505922.91346282104,-46419153677992.33,-3919993362317.492,-42499160315674.836,963799.1392438915,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2945516528510.594,0.0,0.0,0.0
2800.0,5.168879291214867e+16,3.1923549240344024e+16,1.976524367180465e+16,54097.626711894074,0.0002819901413646954,46500215964615.29,6926050615751.0,39574165348864.29,507473.1120092301,-46430148503359.86,-3904419854723.5312,-42525728648636.33,968252.9702957898,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2945345688143.866,0.0,0.0,0.0
3000.0,5.167408646009655e+16,3.1901050051702576e+16,1.9773036408393976e+16,54158.22436034713,0.00028190990976593864,46509576362999.36,6909200422302.242,39600375940697.12,509050.7698955944,-46440743037505.34,-3888525086292.9375,-42552217951212.41,972821.1131934741,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2945178066034.9956,0.0,0.0,0.0
3200.0,5.165978472034451e+16,3.187881881138071e+16,1.97809659089638e+16,54218.82519747034,0.0002818318860902592,46518719236532.85,6892103865801.984,39626615370730.87,510654.8029412624,-46452231121458.64,-3873069190019.5156,-42579161931439.125,977326.332653273,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2945015018867.819,0.0,0.0,0.0
3400.0,5.164591892833276e+16,3.1856875050701204e+16,1.9789043877631556e+16,54279.42650390279,0.0002817562407437685,46527694842295.25,6874796683942.266,39652898158352.984,512283.1000656424,-46462980461114.48,-3857044373189.0625,-42605936087925.414,982008.709744378,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2944856907817.6777,0.0,0.0,0.0
3600.0,5.163241214935662e+16,3.183517058132866e+16,1.9797241568027964e+16,54340.03005021419,0.00028168255400631,46536372499718.11,6857217855402.047,39679154644316.06,513939.67335923214,-46473209409374.77,-3840605220908.6953,-42632604188466.08,986834.2585327044,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2944702858123.8135,0.0,0.0,0.0
3800.0,5.161923381143333e+16,3.1813686060381444e+16,1.9805547751051884e+16,54400.636746981276,0.0002816106590912893,46544717112138.15,6839352793707.57,39705364318430.58,515625.7731916744,-46482992837993.46,-3823806347745.5938,-42659186490247.87,991792.6856718459,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2944552523428.028,0.0,0.0,0.0
4000.0,5.160636751496456e+16,3.179241101576271e+16,1.981395649920185e+16,54461.24701941166,0.0002815404665300849,46552715945318.67,6821198004958.344,39731517940360.33,517341.98876559775,-46492370092734.69,-3806676581976.086,-42685693510758.6,996879.8448275025,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2944405718816.005,0.0,0.0,0.0
4200.0,5.159384561332263e+16,3.1771365123291264e+16,1.982248049003137e+16,54521.860800720446,0.0002814721528277285,46560406136880.86,6802764374484.8125,39757641762396.05,519088.2916806103,-46501787439969.46,-3789479911583.539,-42712307528385.92,1002033.215841537,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2944262815194.8564,0.0,0.0,0.0
4400.0,5.158167172821551e+16,3.1750550492128412e+16,1.98311212360871e+16,54582.477332543865,0.00028140573774258326,46567823901633.34,6784077987788.023,39783745913845.32,520863.2687734058,-46510703482175.43,-3771885353658.6094,-42738818128516.82,1007337.488414835,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2944123856843.912,0.0,0.0,0.0
4600.0,5.156981394278292e+16,3.1729947029379972e+16,1.9839866913402948e+16,54643.09736910422,0.0002813410471510252,46574925466230.43,6765120343393.727,39809805122836.7,522668.45630970853,-46519203735567.47,-3753953989585.9297,-42765249745981.54,1012780.5545806303,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2943988481443.7466,0.0,0.0,0.0
4800.0,5.1558256494320296e+16,3.170954467284832e+16,1.9848711821471976e+16,54703.72138427954,0.00028127799505903053,46581702061869.984,6745890041022.227,39835812020847.76,524504.3386282928,-46527322247667.88,-3735711291609.1094,-42791610956058.77,1018359.1388495235,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2943856510923.5674,0.0,0.0,0.0
5000.0,5.154698839464593e+16,3.1689336352555548e+16,1.985765204209038e+16,54764.34966962321,0.00028121652152016325,46588162087049.414,6726395452025.633,39861766635023.78,526370.7462656975,-46535075609726.42,-3717170969330.875,-42817904640395.55,1024072.9265052942,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2943727821607.319,0.0,0.0,0.0
