M1.H_b.TA Time [a],M1.H_b.TA TA [mol],M1.H_b.TA C^{12}$S [mol],M1.H_b.TA C^{13}$S [mol],M1.H_b.TA $\delta^{13}$C [VPDB],M1.H_b.TA TA [mol/l],M1.CG_L_b2H_b.C_TA_2_TA_thc.thc_F TA [mol/a],M1.CG_L_b2H_b.C_TA_2_TA_thc.thc_F TA [C^{12}$S],M1.CG_L_b2H_b.C_TA_2_TA_thc.thc_F TA [C^{13}$S],M1.CG_L_b2H_b.C_TA_2_TA_thc.thc_F TA $\delta^{13}$C [VPDB],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA [mol/a],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA [C^{12}$S],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA [C^{13}$S],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA $\delta^{13}$C [VPDB],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA [mol/a],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA [C^{12}$S],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA [C^{13}$S],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA $\delta^{13}$C [VPDB],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA [mol/a],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA [C^{12}$S],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA [C^{13}$S],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA $\delta^{13}$C [VPDB]
2200.0,4.032803492916001e+16,1.516004434447755e+17,-1.1127240851561549e+17,-66317.40260764568,0.002326845816109267,1781574275663041.0,6878287599371214.0,-5096713323708173.0,-66940.42850290543,1835741720682107.0,6900883609683586.0,-5065141889001479.0,-66317.38698579068,2202890064818528.5,8281060331620304.0,-6078170266801776.0,-66317.38698579068,2257061349698395.5,8304671201138475.0,-6047609851440080.0,-65804.1928160835
2400.0,4.032877082096996e+16,1.5180354242413475e+17,-1.114747716031648e+17,-66348.6431280601,0.0023268882755740567,1781607659893202.0,6887584932244923.0,-5105977272351721.0,-66971.11124209464,1835775220134689.8,6910128717723777.0,-5074353497589087.0,-66348.62750909757,2202930264161627.8,8292154461268533.0,-6089224197106905.0,-66348.62750909757,2257101338599560.0,8315714377477430.0,-6058613038877870.0,-65835.88352666228
2600.0,4.032944459204428e+16,1.5200689614587798e+17,-1.116774515538337e+17,-66379.87610164777,0.0023269271507984023,1781638229041227.5,6896894075267130.0,-5115255846225902.0,-67001.78694551576,1835805891686230.2,6919385421678354.0,-5083579529992124.0,-66379.86048751096,2202967070023476.2,8303262506014024.0,-6100295435990548.0,-66379.86048751096,2257137954237900.5,8326771258963807.0,-6069633304725906.0,-65867.56593623909
2800.0,4.0330057610618216e+16,1.5221050546351485e+17,-1.1188044785289664e+17,-66411.10073411684,0.002326962520726703,1781666056905563.5,6906215058885829.0,-5124549001980266.0,-67032.45463453118,1835833797840314.5,6928653760398791.0,-5092819962558476.0,-66411.08512388844,2203000557408377.5,8314384512478550.0,-6111383955070172.0,-66411.08512388844,2257171211730842.5,8337841900727788.0,-6080670688996946.0,-65899.23991550796
3000.0,4.033061158472948e+16,1.5241437127113907e+17,-1.120837596864096e+17,-66442.31604267136,0.0023269944839092705,1781691211277229.2,6915547919363549.0,-5133856708086320.0,-67063.1134318995,1835859016169341.5,6937933774583794.0,-5102074758414452.0,-66442.30043771675,2203030819403210.0,8325520529500555.0,-6122489710097345.0,-66442.30043771675,2257201253024532.0,8348926356190787.0,-6091725103166255.0,-65930.90398579942
3200.0,4.033108884604728e+16,1.5261847566322128e+17,-1.12287386817174e+17,-66473.52945048183,0.0023270220209192557,1781711772573173.5,6924890786615444.0,-5143179014042270.0,-67093.781700706,1835880743125767.5,6947224649753562.0,-5111343906627794.0,-66473.5138449308,2203056891750921.2,8336669579704274.0,-6133612687953353.0,-66473.5138449308,2257228071929360.5,8360024575252072.0,-6102796503322712.0,-65962.55794856248
3400.0,4.033149945843302e+16,1.528228290497015e+17,-1.1249132959126848e+17,-66504.73655846676,0.002327045712421048,1781729160179794.8,6934245077273887.0,-5152515917094092.0,-67124.44572564753,1835899435709041.0,6956526858714762.0,-5120627423005721.0,-66504.72095709549,2203079322850849.2,8347832230457716.0,-6144752907606867.0,-66504.72095709549,2257251498286650.0,8371136413498654.0,-6113884915212004.0,-65994.20308486898
3600.0,4.0331850314807016e+16,1.5302743671559213e+17,-1.1269558640078512e+17,-66535.93404111,0.0023270659561221685,1781743848383455.5,6943611168007511.0,-5161867319624056.0,-67155.10053275082,1835915408143801.2,6965840642515400.0,-5129925234371599.0,-66535.91844443127,2203098489772561.8,8359008771018481.0,-6155910281245919.0,-66535.91844443127,2257271648650563.5,8382261920662852.0,-6124990272012288.0,-66025.83817920554
3800.0,4.033214337325185e+16,1.5323229952566627e+17,-1.1290015615241443e+17,-66567.12077668443,0.0023270828650000107,1781755921161403.5,6952989087837796.0,-5171233166676392.0,-67185.74502356577,1835928749463114.2,6975166040519494.0,-5139237291056380.0,-66567.10518647349,2203114499355737.2,8370199248623393.0,-6167084749267656.0,-66567.10518647349,2257288656735188.0,8393401154469329.0,-6136112497734141.0,-66057.46186643268
4000.0,4.033238063192893e+16,1.5343741838441197e+17,-1.1310503775248304e+17,-66598.29563166384,0.002327096554344435,1781765472733159.5,6962378871678726.0,-5180613398945566.0,-67216.37799351277,1835939550796760.8,6984503093899931.0,-5148563543103170.0,-66598.28004748543,2203127460956113.0,8381403712679918.0,-6178276251723805.0,-66598.28004748543,2257302590801811.5,8404554170498750.0,-6147251579696938.0,-66089.07346820128
4200.0,4.033255670048868e+16,1.5364278794457462e+17,-1.1331023124408595e+17,-66629.46080684412,0.002327106713143204,1781771888770283.5,6971779921934207.0,-5190008033163924.0,-67247.0052247892,1835947566913890.8,6993851559441458.0,-5157903992527567.0,-66629.44522714017,2203137080296669.0,8392621871329750.0,-6189484791033081.0,-66629.44522714017,2257313495103448.5,8415720988867268.0,-6158407493763820.0,-66120.67246895403
4400.0,4.0332676617468376e+16,1.5384841229614838e+17,-1.1351573567868e+17,-66660.61389441245,0.0023271136321096992,1781775710669251.0,6981192736497001.0,-5199417025827750.0,-67277.62131088616,1835953026780664.2,7003211622970733.0,-5167258596190069.0,-66660.59832140511,2203143632136797.2,8403853947564880.0,-6200710315428083.0,-66660.59832140511,2257321417481579.0,8426901597574927.0,-6169580180093348.0,-66152.2582237766
4600.0,4.0332743685883336e+16,1.5405429380082458e+17,-1.1372155011494125e+17,-66691.75323736672,0.0023271175018212045,1781777146691665.0,6990617465538482.0,-5208840318846817.0,-67308.22397834729,1835956080952878.5,7012583392150253.0,-5176627311197374.0,-66691.73767123447,2203147297143454.2,8415100070580305.0,-6211952773436851.0,-66691.73767123447,2257326436575360.0,8438096048652803.0,-6180769612077443.0,-66183.82994732575
4800.0,4.033275941948023e+16,1.5426043334375574e+17,-1.1392767392427552e+17,-66722.87799526517,0.002327118409617832,1781776264642750.5,7000054143739526.0,-5218277879096776.0,-67338.81237534029,1835956798297304.2,7021966907271940.0,-5186010108974636.0,-66722.86243668264,2203148157956765.2,8426360288726328.0,-6223212130769563.0,-66722.86243668264,2257328644728384.0,8449304396159955.0,-6191975751431571.0,-66215.38672086844
