M1.L_b.cs Time [a],H,CA,HCO3,CO3,CO2aq,Omega
0.0,7.227991642377779e-09,0.0021422613970727,0.0016505815042219,0.0002458399464254,8.879914072823557e-06,5.751401837423425
200.0,7.219060673356767e-09,0.0021429658246567753,0.0016506555669701449,0.0002461551288433152,8.869339929790804e-06,5.758775499693439
400.0,7.215472998385475e-09,0.0021430050890501448,0.0016504972783096044,0.00024625390537027017,8.864082013798234e-06,5.761086367015383
600.0,7.2128690103725705e-09,0.002143051724562552,0.0016503962626927856,0.0002463277309348831,8.86034074632923e-06,5.762813508979646
800.0,7.210596409229476e-09,0.002143098759207322,0.0016503129129194223,0.00024639292314394985,8.857101734772543e-06,5.764338674423522
1000.0,7.2084566424065365e-09,0.00214314344217989,0.0016502346831993922,0.0002464543794902489,8.854053634130212e-06,5.765776439718239
1200.0,7.206388181984533e-09,0.002143184982551699,0.0016501577338390075,0.0002465136243563458,8.851100230828019e-06,5.767162467646905
1400.0,7.204371271145761e-09,0.0021432232062294763,0.0016500808952542812,0.0002465711554875975,8.84821097025439e-06,5.768508402914145
1600.0,7.202398883228529e-09,0.0021432581382469728,0.001650003820366505,0.00024662715894023393,8.845375352887173e-06,5.769818598287511
1800.0,7.200468112164283e-09,0.0021432898202090127,0.0016499263914522358,0.0002466817143783885,8.842589172359237e-06,5.771094917501723
2000.0,7.198577122438043e-09,0.0021433183346971875,0.0016498485784736683,0.0002467348781117596,8.839850008048717e-06,5.7723386779167445
2200.0,7.196739477049608e-09,0.002143342246779001,0.001649769995967168,0.00024678612540591637,8.837172444455996e-06,5.77353760342117
2400.0,7.194952412602874e-09,0.002143362758182881,0.0016496914269522771,0.00024683566561530185,8.834557275542543e-06,5.774696591842007
2600.0,7.193209056088722e-09,0.002143380226683025,0.0016496127872479395,0.00024688371971754277,8.831995602829289e-06,5.775820812929518
2800.0,7.1915066863357264e-09,0.002143394713157291,0.0016495339829037798,0.00024693036512675557,8.829483575067379e-06,5.776912077779493
3000.0,7.189843699181958e-09,0.0021434062844832434,0.0016494549833428308,0.0002469756505702063,8.827019052596728e-06,5.777971526361623
3200.0,7.188241042394598e-09,0.0021434127638320036,0.0016493752239474236,0.00024701876994229004,8.824624724810344e-06,5.7789802999130195
3400.0,7.186695248933281e-09,0.002143415909017232,0.0016492958777820945,0.00024706001561756866,8.822302602465673e-06,5.779945238508364
3600.0,7.185196678044798e-09,0.0021434162038996255,0.001649216810307898,0.0002470996967958637,8.82004012023568e-06,5.780873575847661
3800.0,7.183741829690002e-09,0.0021434137126499398,0.001649137888322569,0.0002471379121636853,8.817832260431626e-06,5.781767620692295
4000.0,7.18232865934854e-09,0.0021434085301610356,0.0016490590790118364,0.0002471747255745996,8.815676329985088e-06,5.782628866890291
4200.0,7.1809632905645516e-09,0.002143399953094824,0.0016489801678979713,0.00024720989259842624,8.813578690604752e-06,5.78345159602115
4400.0,7.179643608315858e-09,0.0021433886424164785,0.0016489015539225777,0.0002472435442469504,8.811538870320281e-06,5.784238873092955
4600.0,7.178365567662547e-09,0.002143374813000372,0.001648823190280517,0.0002472758113599274,8.809551646062519e-06,5.78499375908916
4800.0,7.177127276035236e-09,0.0021433585280199717,0.0016487450272401468,0.0002473067503899124,8.80761442164377e-06,5.785717574711849
5000.0,7.175927293583308e-09,0.0021433398722374166,0.0016486670555012658,0.0002473364083680754,8.805725373027453e-06,5.786411420250707
5200.0,7.174824118029979e-09,0.0021433128357901364,0.0016485877567066346,0.0002473625395417509,8.803948164905358e-06,5.787022756538715
5400.0,7.173810243425556e-09,0.0021432820486172346,0.0016485102979418265,0.00024738587533770404,8.802290484382345e-06,5.787568695234497
5600.0,7.1728619778697826e-09,0.0021432486531317314,0.0016484343039984799,0.00024740717456662575,8.80072123996033e-06,5.788066988640988
5800.0,7.1719718115860895e-09,0.002143212713048219,0.0016483594275006788,0.00024742664277377,8.799229349369664e-06,5.7885224454695825
6000.0,7.171136532130296e-09,0.002143174298418431,0.0016482855535987057,0.0002474443724098626,8.797810246516206e-06,5.788937228596095
6200.0,7.170406419488318e-09,0.002143128150812525,0.001648211308782764,0.0002474584210148805,8.796518272624295e-06,5.7892658943556174
6400.0,7.169773839785484e-09,0.002143078402351357,0.0016481394682792518,0.0002474694670360527,8.795358856296376e-06,5.789524314955646
6600.0,7.169217684300481e-09,0.002143026107015728,0.0016480697238181446,0.0002474781915987917,8.794304439965327e-06,5.789728425259514
6800.0,7.168731224245682e-09,0.0021429712311727346,0.0016480016935106674,0.00024748476883103363,8.793344717757806e-06,5.789882298973494
7000.0,7.168310401820701e-09,0.002142914055715432,0.0016479353788612116,0.00024748933842711016,8.792474708052252e-06,5.789989204233007
7200.0,7.167811681920266e-09,0.002142868991345332,0.0016478742401031946,0.0002474973756210686,8.79153681037205e-06,5.790177233610544
7400.0,7.167248434834052e-09,0.002142825407813013,0.0016478108112839267,0.00024750729826454316,8.79050759978843e-06,5.790409372897676
7600.0,7.166671515470024e-09,0.0021427809470005495,0.001647745979233886,0.0002475174838833318,8.789454189063787e-06,5.790647664466919
7800.0,7.166095032874954e-09,0.0021427356980388878,0.0016476805618075856,0.0002475275681156511,8.788398247385615e-06,5.790883584109489
8000.0,7.1655230757480004e-09,0.0021426897483303614,0.001647614843475728,0.0002475374524273167,8.787346306754658e-06,5.791114826627647
8200.0,7.165317186438364e-09,0.002142606363202655,0.001647539786531093,0.000247533288335781,8.786693521808226e-06,5.791017408107761
8400.0,7.1654396136846845e-09,0.002142513052993958,0.0016474745403225373,0.00024751925633571044,8.786495673650013e-06,5.790689130819379
8600.0,7.165754222670714e-09,0.0021424162698484724,0.0016474168314061224,0.000247499719221175,8.7865736642784e-06,5.790232061909013
8800.0,7.166222757470884e-09,0.002142315872108098,0.001647364515545512,0.00024747567828129304,8.78686912950111e-06,5.7896696264390215
9000.0,7.166830180203008e-09,0.0021422120640347112,0.001647316947551398,0.0002474475582416566,8.787360177130317e-06,5.789011760823669
9200.0,7.1675338726828e-09,0.0021421086612845937,0.0016472747949495042,0.00024741693316754473,8.787998106567674e-06,5.788295290168353
9400.0,7.168333402529556e-09,0.002142003175194484,0.00164723611793381,0.000247383528630337,8.78877203736928e-06,5.787513794241965
9600.0,7.169239540971899e-09,0.002141895076463644,0.0016472010775416457,0.00024734699946099916,8.789696032618735e-06,5.786659197848238
9800.0,7.17025148134001e-09,0.0021417848188128173,0.001647169975590302,0.0002473074216112576,8.790770713117948e-06,5.785733277870486
10000.0,7.171324503653999e-09,0.0021416778895008634,0.0016471446558327667,0.00024726661683404836,8.791951095748563e-06,5.784778654042954
10200.0,7.174047681902254e-09,0.0021414097194868247,0.001647082775966036,0.0002471634717603943,8.79495925595994e-06,5.782365584992294
10400.0,7.178224887167667e-09,0.002141104889631856,0.0016470695696729832,0.00024701765997943643,8.800009704244458e-06,5.778954332439106
10600.0,7.1832352711741266e-09,0.002140793598020544,0.0016470951927804085,0.0002468492026200677,8.806289085636488e-06,5.775013288762973
10800.0,7.188879944144961e-09,0.002140477511135056,0.0016471502620132121,0.000246663624560922,8.81350383606812e-06,5.770671707966706
11000.0,7.195108901430114e-09,0.0021401542432468957,0.0016472301668527933,0.00024646203819705123,8.821568405121584e-06,5.765955614425262
11200.0,7.202536374102988e-09,0.0021397611116582725,0.0016473188445209155,0.0002462211335686785,8.831150257487168e-06,5.760319673877711
11400.0,7.21106414449494e-09,0.0021393507647057787,0.0016474513066481323,0.0002459497290288232,8.842317259433467e-06,5.753970190842486
11600.0,7.220391147597962e-09,0.0021389387004509576,0.001647623353922108,0.0002456576732644248,8.854678792130448e-06,5.747137574400712
11800.0,7.2304108975318315e-09,0.002138527114180155,0.0016478308370476424,0.0002453481385662562,8.868083051874823e-06,5.73989603998908
12000.0,7.241064793887518e-09,0.002138118835418803,0.0016480726313598051,0.00024502310202949903,8.8824532070706e-06,5.732291841558692
12200.0,7.249965043529802e-09,0.002137952882835357,0.0016484085202339164,0.0002447721813007204,8.895183477428646e-06,5.726421575308115
12400.0,7.257330633535519e-09,0.002137851961992309,0.0016487138589472443,0.00024456905152253226,8.905869874774991e-06,5.721669373737565
12600.0,7.264052659775768e-09,0.002137772532920495,0.0016490017404173882,0.00024438539625155345,8.915675334986465e-06,5.717372776385025
12800.0,7.270398455650325e-09,0.0021377139713474667,0.0016492856981480456,0.0002442141365997106,8.925000588618794e-06,5.713366173346716
13000.0,7.276476720753382e-09,0.002137674654396569,0.001649570197575805,0.000244052228410382,8.934002986315994e-06,5.7095783468720605
