M1.L_b.TA Time [a],M1.L_b.TA TA [mol],M1.L_b.TA C^{12}$S [mol],M1.L_b.TA C^{13}$S [mol],M1.L_b.TA $\delta^{13}$C [VPDB],M1.L_b.TA TA [mol/l],M1.CG_L_b2H_b.C_TA_2_TA_thc.thc_F TA [mol/a],M1.CG_L_b2H_b.C_TA_2_TA_thc.thc_F TA [C^{12}$S],M1.CG_L_b2H_b.C_TA_2_TA_thc.thc_F TA [C^{13}$S],M1.CG_L_b2H_b.C_TA_2_TA_thc.thc_F TA $\delta^{13}$C [VPDB],M1.CG_D_b2L_b.C_TA_2_TA_thc.thc_F TA [mol/a],M1.CG_D_b2L_b.C_TA_2_TA_thc.thc_F TA [C^{12}$S],M1.CG_D_b2L_b.C_TA_2_TA_thc.thc_F TA [C^{13}$S],M1.CG_D_b2L_b.C_TA_2_TA_thc.thc_F TA $\delta^{13}$C [VPDB],M1.CG_L_b2D_b.C_TA_2_TA_PIC_TA.PIC_TA_F TA [mol/a],M1.CG_L_b2D_b.C_TA_2_TA_PIC_TA.PIC_TA_F TA [C^{12}$S],M1.CG_L_b2D_b.C_TA_2_TA_PIC_TA.PIC_TA_F TA [C^{13}$S],M1.CG_L_b2D_b.C_TA_2_TA_PIC_TA.PIC_TA_F TA $\delta^{13}$C [VPDB],M1.C_TA_2_TA_wca_ta.TA_2_TA_wca_ta_F TA [mol/a],M1.C_TA_2_TA_wca_ta.TA_2_TA_wca_ta_F TA [C^{12}$S],M1.C_TA_2_TA_wca_ta.TA_2_TA_wca_ta_F TA [C^{13}$S],M1.C_TA_2_TA_wca_ta.TA_2_TA_wca_ta_F TA $\delta^{13}$C [VPDB],M1.C_TA_2_TA_wsi_ta.TA_2_TA_wsi_ta_F TA [mol/a],M1.C_TA_2_TA_wsi_ta.TA_2_TA_wsi_ta_F TA [C^{12}$S],M1.C_TA_2_TA_wsi_ta.TA_2_TA_wsi_ta_F TA [C^{13}$S],M1.C_TA_2_TA_wsi_ta.TA_2_TA_wsi_ta_F TA $\delta^{13}$C [VPDB],M1.C_TA_2_TA_PyOx_TA.TA_2_TA_PyOx_TA_F TA [mol/a],M1.C_TA_2_TA_PyOx_TA.TA_2_TA_PyOx_TA_F TA [C^{12}$S],M1.C_TA_2_TA_PyOx_TA.TA_2_TA_PyOx_TA_F TA [C^{13}$S],M1.C_TA_2_TA_PyOx_TA.TA_2_TA_PyOx_TA_F TA $\delta^{13}$C [VPDB]
2000.0,6.388750090910205e+16,2.4632857571014186e+17,-1.824410748010398e+17,-66909.75781789544,0.002258140984114342,1781537728401821.0,6869001812904042.0,-5087464084502221.0,-66909.74247923761,1880848179902432.5,6911368066556142.0,-5030519886653710.0,-65772.49562055229,120000000000000.0,118666520574994.69,1333479425005.328,0.0,14164477859891.395,54613395241264.49,-40448917381373.09,-66909.74247923761,5892101280505.437,22717932790518.78,-16825831510013.344,-66909.74247923761,640000008000.0039,633085099033.6392,6914908966.364746,-28.0
2200.0,6.388881144743412e+16,2.466615723146475e+17,-1.8277276086721338e+17,-66940.44384572298,0.0022581873058561035,1781574275663041.0,6878287599371214.0,-5096713323708173.0,-66940.42850290543,1880884458081996.2,6920559334282062.0,-5039674876200066.0,-65804.1928160835,120000000000000.0,118666520574994.69,1333479425005.328,0.0,14162727077643.352,54679342513058.3,-40516615435414.945,-66940.42850290543,5891737126414.663,22746771194981.99,-16855034068567.324,-66940.42850290543,641600008800.0043,634667812552.7961,6932196247.20813,-28.0
2400.0,6.389000858254247e+16,2.46994983009934e+17,-1.8310497442739155e+17,-66971.12658215748,0.002258229619294777,1781607659893202.0,6887584932244923.0,-5105977272351721.0,-66971.11124209464,1880917782166299.8,6929761981231191.0,-5048844199064891.0,-65835.88352666228,120000000000000.0,118666520574994.69,1333479425005.328,0.0,14161017218541.385,54745616004779.234,-40584598786237.85,-66971.11124209464,5891381462411.057,22775716059192.207,-16884334596781.15,-66971.11124209464,643200009600.0046,636250526071.953,6949483528.051636,-28.0
2600.0,6.389110477097318e+16,2.473288172279493e+17,-1.8343771245697613e+17,-67001.80228113658,0.0022582683647142483,1781638229041227.5,6896894075267130.0,-5115255846225902.0,-67001.78694551576,1880948295198250.5,6938976049136506.0,-5058027753938256.0,-65867.56593623909,120000000000000.0,118666520574994.69,1333479425005.328,0.0,14159342355397.898,54812185105151.87,-40652842749753.97,-67001.78694551576,5891033057021.188,22804759308536.402,-16913726251515.215,-67001.78694551576,644800010400.0051,637833239591.1101,6966770808.89502,-28.0
2800.0,6.389210265277229e+16,2.476630760607479e+17,-1.837709734079756e+17,-67032.46996635581,0.0022583036354284847,1781666056905563.5,6906215058885829.0,-5124549001980266.0,-67032.45463453118,1880976009775701.8,6948201583939823.0,-5067225574164121.0,-65899.23991550796,120000000000000.0,118666520574994.69,1333479425005.328,0.0,14157699915393.63,54879038625620.914,-40721338710227.28,-67032.45463453118,5890691376287.732,22833898267571.69,-16943206891283.959,-67032.45463453118,646400011200.0055,639415953110.267,6984058089.738525,-28.0
3000.0,6.389300466386507e+16,2.479977608087529e+17,-1.841047561448878e+17,-67063.12875882187,0.002258335517536687,1781691211277229.2,6915547919363549.0,-5133856708086320.0,-67063.1134318995,1881001044187110.0,6957438630158989.0,-5076437585971879.0,-65930.90398579942,120000000000000.0,118666520574994.69,1333479425005.328,0.0,14156088507946.736,54946170137573.086,-40790081629626.35,-67063.1134318995,5890356132069.991,22863131296609.75,-16972775164539.758,-67063.1134318995,647999993999.9968,640998648823.8969,7001345176.099976,-28.0
3200.0,6.389374191934631e+16,2.4833280436702426e+17,-1.8443906244767795e+17,-67093.79703457285,0.0022583615762616998,1781711772573173.5,6924890786615444.0,-5143179014042270.0,-67093.781700706,1881023393274467.2,6966687146043393.0,-5085663752768926.0,-65962.55794856248,120000000000000.0,118666520574994.69,1333479425005.328,0.0,14154521168934.654,55013675466795.125,-40859154297860.47,-67093.781700706,5890030037735.638,22892487645348.715,-17002457607613.078,-67093.781700706,647199993599.9967,640207292064.3184,6992701535.678345,-28.0
3400.0,6.3894365403951384e+16,2.4866825761810752e+17,-1.8477389221415613e+17,-67124.4610555477,0.002258383613688734,1781729160179794.8,6934245077273887.0,-5152515917094092.0,-67124.44572564753,1881042915238875.0,6975947011248878.0,-5094904096010003.0,-65994.20308486898,120000000000000.0,118666520574994.69,1333479425005.328,0.0,14153001362675.076,55081536644928.05,-40928535282252.97,-67124.44572564753,5889713815635.355,22921956908703.348,-17032243093067.992,-67124.44572564753,646399993199.9965,639415935304.7399,6984057895.256592,-28.0
3600.0,6.389489208727156e+16,2.490041340306677e+17,-1.8510924194339616e+17,-67155.1158580709,0.0022584022296178907,1781743848383455.5,6943611168007511.0,-5161867319624056.0,-67155.10053275082,1881059707208802.8,6985218267219043.0,-5104158560010240.0,-66025.83817920554,120000000000000.0,118666520574994.69,1333479425005.328,0.0,14151520673752.654,55149710259255.31,-40998189585502.66,-67155.10053275082,5889405716247.627,22951527707737.82,-17062121991490.193,-67155.10053275082,645599992799.9963,638624578545.1615,6975414254.834839,-28.0
3800.0,6.389532498314671e+16,2.493404346455552e+17,-1.8544510966240848e+17,-67185.76034286985,0.0022584175305750986,1781755921161403.5,6952989087837796.0,-5171233166676392.0,-67185.74502356577,1881073880612656.8,6994500962057775.0,-5113427081445118.0,-66057.46186643268,120000000000000.0,118666520574994.69,1333479425005.328,0.0,14150075767185.434,55218181813133.95,-41068106045948.516,-67185.74502356577,5889105046856.056,22981196605891.004,-17092091559034.95,-67185.74502356577,644799992399.9961,637833221785.583,6966770614.413086,-28.0
